,0
2021-06-15 04:00:00+00:00,123908.7857538672
2021-06-16 04:00:00+00:00,123263.72769979226
2021-06-17 04:00:00+00:00,123211.55246939244
2021-06-18 04:00:00+00:00,123418.27536894521
2021-06-21 04:00:00+00:00,123294.85709357627
2021-06-22 04:00:00+00:00,123925.04927732896
2021-06-23 04:00:00+00:00,123791.89409886644
2021-06-24 04:00:00+00:00,124506.25762243387
2021-06-25 04:00:00+00:00,124915.69592157741
2021-06-28 04:00:00+00:00,125200.29399775638
2021-06-29 04:00:00+00:00,125234.39932703877
2021-06-30 04:00:00+00:00,125397.68562358074
2021-07-01 04:00:00+00:00,126039.64920473802
2021-07-02 04:00:00+00:00,126851.87664186381
2021-07-06 04:00:00+00:00,127682.7134417693
2021-07-07 04:00:00+00:00,127988.23990951492
2021-07-08 04:00:00+00:00,128072.75374295189
2021-07-09 04:00:00+00:00,129481.86962664516
2021-07-12 04:00:00+00:00,129913.10666850855
2021-07-13 04:00:00+00:00,129486.88580663686
2021-07-14 04:00:00+00:00,129632.46920271743
2021-07-15 04:00:00+00:00,129235.97935546305
2021-07-16 04:00:00+00:00,128312.39823108452
2021-07-19 04:00:00+00:00,128335.23741975868
2021-07-20 04:00:00+00:00,128206.90218233892
2021-07-21 04:00:00+00:00,129261.0696494587
2021-07-22 04:00:00+00:00,129518.86601218423
2021-07-23 04:00:00+00:00,130815.77457383691
2021-07-26 04:00:00+00:00,131120.36481595098
2021-07-27 04:00:00+00:00,130526.30696458092
2021-07-28 04:00:00+00:00,130502.80732915031
2021-07-29 04:00:00+00:00,131040.60631529191
2021-07-30 04:00:00+00:00,130358.17516844768
2021-08-02 04:00:00+00:00,130125.0387102604
2021-08-03 04:00:00+00:00,131174.00656252707
2021-08-04 04:00:00+00:00,130590.39795389894
2021-08-05 04:00:00+00:00,131358.43339566217
2021-08-06 04:00:00+00:00,131572.73078510072
2021-08-09 04:00:00+00:00,131455.11120489886
2021-08-10 04:00:00+00:00,131582.0847531603
2021-08-11 04:00:00+00:00,131745.27416384485
2021-08-12 04:00:00+00:00,132275.6645699361
2021-08-13 04:00:00+00:00,132481.31139828177
2021-08-16 04:00:00+00:00,132816.6208746487
2021-08-17 04:00:00+00:00,131935.445773405
2021-08-18 04:00:00+00:00,130578.90860466647
2021-08-19 04:00:00+00:00,130739.69320984815
2021-08-20 04:00:00+00:00,131781.3787618313
2021-08-23 04:00:00+00:00,132872.06456352273
2021-08-24 04:00:00+00:00,133063.5813215166
2021-08-25 04:00:00+00:00,133347.79077774662
2021-08-26 04:00:00+00:00,132624.06046504804
2021-08-27 04:00:00+00:00,133751.64620777784
2021-08-30 04:00:00+00:00,134303.11773366487
2021-08-31 04:00:00+00:00,134138.23736698594
2021-09-01 04:00:00+00:00,134178.1605081212
2021-09-02 04:00:00+00:00,134542.27506043014
2021-09-03 04:00:00+00:00,134501.9422328394
2021-09-07 04:00:00+00:00,134084.23261602438
2021-09-08 04:00:00+00:00,133921.7970460039
2021-09-09 04:00:00+00:00,133351.8639669969
2021-09-10 04:00:00+00:00,132388.77788357646
2021-09-13 04:00:00+00:00,132680.40023790704
2021-09-14 04:00:00+00:00,133652.23063462612
2021-09-15 04:00:00+00:00,133518.5784039915
2021-09-16 04:00:00+00:00,133311.0769255167
2021-09-17 04:00:00+00:00,133999.77155379002
2021-09-20 04:00:00+00:00,133865.77178223623
2021-09-21 04:00:00+00:00,134041.64010583106
2021-09-22 04:00:00+00:00,132765.2337217755
2021-09-23 04:00:00+00:00,131140.9944633297
2021-09-24 04:00:00+00:00,130945.55864937123
2021-09-27 04:00:00+00:00,131309.86434250142
2021-09-28 04:00:00+00:00,134036.73985544723
2021-09-29 04:00:00+00:00,133826.8661329714
2021-09-30 04:00:00+00:00,135438.3221727543
2021-10-01 04:00:00+00:00,133901.38353204262
2021-10-04 04:00:00+00:00,135661.3505783854
2021-10-05 04:00:00+00:00,134253.74128466638
2021-10-06 04:00:00+00:00,133705.0090001582
2021-10-07 04:00:00+00:00,132595.10458264124
2021-10-08 04:00:00+00:00,132849.1857958146
